ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-03-10,-1.0827451993341122,-138.60401330550917,100.21234994452153,-1.0827451993341122,-1.0827451993341122,-9.53127250063042,-9.53127250063042,-9.53127250063042,-8.309824159513976,-8.309824159513976,-8.309824159513976,-1.2214483411164458,-1.2214483411164458,-1.2214483411164458,0.0,0.0,0.0,-10.614017699964533
2020-03-11,0.497363688178245,-122.0331855933524,99.19115644650545,0.497363688178245,0.497363688178245,-8.24463213603413,-8.24463213603413,-8.24463213603413,-8.309824159513976,-8.309824159513976,-8.309824159513976,0.06519202347984644,0.06519202347984644,0.06519202347984644,0.0,0.0,0.0,-7.747268447855886
2020-03-12,2.077472575690602,-121.02201419312922,110.0601982621156,2.077472575690602,2.077472575690602,-8.47480798658598,-8.47480798658598,-8.47480798658598,-8.309824159513976,-8.309824159513976,-8.309824159513976,-0.16498382707200268,-0.16498382707200268,-0.16498382707200268,0.0,0.0,0.0,-6.397335410895377
2020-03-13,3.6575814632029595,-134.2174465454202,114.41613598914113,3.6575814632029595,3.6575814632029595,-7.925691110750292,-7.925691110750292,-7.925691110750292,-8.309824159513976,-8.309824159513976,-8.309824159513976,0.384133048763685,0.384133048763685,0.384133048763685,0.0,0.0,0.0,-4.268109647547332
2020-03-14,5.237690350715317,-116.86524713477694,110.77082648199078,5.237690350715317,5.237690350715317,-9.008033370620435,-9.008033370620435,-9.008033370620435,-8.309824159513976,-8.309824159513976,-8.309824159513976,-0.6982092111064573,-0.6982092111064573,-0.6982092111064573,0.0,0.0,0.0,-3.770343019905118
2020-03-15,6.817799238227675,-121.44551899179137,121.67535987697794,6.817799238227675,6.817799238227675,-6.817574935771064,-6.817574935771064,-6.817574935771064,-8.309824159513976,-8.309824159513976,-8.309824159513976,1.4922492237429121,1.4922492237429121,1.4922492237429121,0.0,0.0,0.0,0.00022430245661109183
2020-03-16,8.397908125740031,-118.02764727192462,121.95387805823508,8.397908125740031,8.397908125740031,-8.166757076201284,-8.166757076201284,-8.166757076201284,-8.309824159513976,-8.309824159513976,-8.309824159513976,0.14306708331269374,0.14306708331269374,0.14306708331269374,0.0,0.0,0.0,0.231151049538747
2020-03-17,9.978017013252389,-119.93349700421123,118.94037205382182,9.978017013252389,9.978017013252389,-9.531272500627006,-9.531272500627006,-9.531272500627006,-8.309824159513976,-8.309824159513976,-8.309824159513976,-1.2214483411130301,-1.2214483411130301,-1.2214483411130301,0.0,0.0,0.0,0.44674451262538284
2020-03-18,11.558125900764747,-114.39726066715691,119.77734504343319,11.558125900764747,11.558125900764747,-8.24463213603223,-8.24463213603223,-8.24463213603223,-8.309824159513976,-8.309824159513976,-8.309824159513976,0.06519202348174596,0.06519202348174596,0.06519202348174596,0.0,0.0,0.0,3.3134937647325167
2020-03-19,13.138234788277105,-113.3551755271403,123.1105131721858,13.138234788277105,13.138234788277105,-8.474807986584414,-8.474807986584414,-8.474807986584414,-8.309824159513976,-8.309824159513976,-8.309824159513976,-0.16498382707043796,-0.16498382707043796,-0.16498382707043796,0.0,0.0,0.0,4.66342680169269
2020-03-20,14.71834367578946,-103.66769020205683,124.7610190197386,14.71834367578946,14.71834367578946,-7.925691110747897,-7.925691110747897,-7.925691110747897,-8.309824159513976,-8.309824159513976,-8.309824159513976,0.3841330487660784,0.3841330487660784,0.3841330487660784,0.0,0.0,0.0,6.792652565041564
2020-03-21,16.29845256330182,-98.01223240252239,117.28721149228636,16.29845256330182,16.29845256330182,-9.008033370619101,-9.008033370619101,-9.008033370619101,-8.309824159513976,-8.309824159513976,-8.309824159513976,-0.6982092111051256,-0.6982092111051256,-0.6982092111051256,0.0,0.0,0.0,7.290419192682718
2020-03-22,17.878561450814175,-96.05349658159756,125.07004147349878,17.878561450814175,17.878561450814175,-6.817574935771584,-6.817574935771584,-6.817574935771584,-8.309824159513976,-8.309824159513976,-8.309824159513976,1.4922492237423917,1.4922492237423917,1.4922492237423917,0.0,0.0,0.0,11.06098651504259
2020-03-23,19.45867033832653,-100.78706635048086,135.97638508347416,19.45867033832653,19.45867033832653,-8.166757076206258,-8.166757076206258,-8.166757076206258,-8.309824159513976,-8.309824159513976,-8.309824159513976,0.14306708330771883,0.14306708330771883,0.14306708330771883,0.0,0.0,0.0,11.291913262120273
2020-03-24,21.038779225838887,-110.14106048546412,130.18221075845875,21.038779225838887,21.038779225838887,-9.531272500633225,-9.531272500633225,-9.531272500633225,-8.309824159513976,-8.309824159513976,-8.309824159513976,-1.221448341119248,-1.221448341119248,-1.221448341119248,0.0,0.0,0.0,11.507506725205662
2020-03-25,22.618888113351247,-95.62222097262367,138.26988595075065,22.618888113351247,22.618888113351247,-8.244632136039808,-8.244632136039808,-8.244632136039808,-8.309824159513976,-8.309824159513976,-8.309824159513976,0.06519202347416816,0.06519202347416816,0.06519202347416816,0.0,0.0,0.0,14.374255977311439
2020-03-26,24.198997000863603,-98.0911090486196,131.33263905801434,24.198997000863603,24.198997000863603,-8.474807986587193,-8.474807986587193,-8.474807986587193,-8.309824159513976,-8.309824159513976,-8.309824159513976,-0.16498382707321668,-0.16498382707321668,-0.16498382707321668,0.0,0.0,0.0,15.72418901427641
2020-03-27,25.779105888375963,-100.86091533701767,130.56916707939808,25.779105888375963,25.779105888375963,-7.925691110748428,-7.925691110748428,-7.925691110748428,-8.309824159513976,-8.309824159513976,-8.309824159513976,0.38413304876554927,0.38413304876554927,0.38413304876554927,0.0,0.0,0.0,17.853414777627535
2020-03-28,27.359214775888315,-92.23189836220308,142.04185825523493,27.359214775888315,27.359214775888315,-9.008033370617769,-9.008033370617769,-9.008033370617769,-8.309824159513976,-8.309824159513976,-8.309824159513976,-0.6982092111037936,-0.6982092111037936,-0.6982092111037936,0.0,0.0,0.0,18.351181405270545
2020-03-29,28.93932366340067,-92.45524056730953,133.6581702377224,28.93932366340067,28.93932366340067,-6.817574935772106,-6.817574935772106,-6.817574935772106,-8.309824159513976,-8.309824159513976,-8.309824159513976,1.4922492237418707,1.4922492237418707,1.4922492237418707,0.0,0.0,0.0,22.121748727628564
2020-03-30,30.51943255091303,-93.32136839699734,140.93992803426818,30.51943255091303,30.51943255091303,-8.166757076201629,-8.166757076201629,-8.166757076201629,-8.309824159513976,-8.309824159513976,-8.309824159513976,0.14306708331234658,0.14306708331234658,0.14306708331234658,0.0,0.0,0.0,22.352675474711404
2020-03-31,32.09954143842539,-97.6528835980952,135.87820074614623,32.09954143842539,32.09954143842539,-9.53127250062813,-9.53127250062813,-9.53127250062813,-8.309824159513976,-8.309824159513976,-8.309824159513976,-1.2214483411141552,-1.2214483411141552,-1.2214483411141552,0.0,0.0,0.0,22.56826893779726
2020-04-01,33.67965032593774,-87.52731312729426,142.6089228628,33.67965032593774,33.67965032593774,-8.244632136037907,-8.244632136037907,-8.244632136037907,-8.309824159513976,-8.309824159513976,-8.309824159513976,0.06519202347606759,0.06519202347606759,0.06519202347606759,0.0,0.0,0.0,25.435018189899836
2020-04-02,35.2597592134501,-95.22220760694601,143.2507345112489,35.2597592134501,35.2597592134501,-8.474807986585628,-8.474807986585628,-8.474807986585628,-8.309824159513976,-8.309824159513976,-8.309824159513976,-0.16498382707165204,-0.16498382707165204,-0.16498382707165204,0.0,0.0,0.0,26.784951226864475
2020-04-03,36.839868100962455,-85.28154898179709,143.80063055562584,36.839868100962455,36.839868100962455,-7.92569111074899,-7.92569111074899,-7.92569111074899,-8.309824159513976,-8.309824159513976,-8.309824159513976,0.38413304876498544,0.38413304876498544,0.38413304876498544,0.0,0.0,0.0,28.914176990213466
2020-04-04,38.41997698847482,-95.22961803535155,144.3795268193515,38.41997698847482,38.41997698847482,-9.008033370621128,-9.008033370621128,-9.008033370621128,-8.309824159513976,-8.309824159513976,-8.309824159513976,-0.6982092111071533,-0.6982092111071533,-0.6982092111071533,0.0,0.0,0.0,29.411943617853694
2020-04-05,40.000085875987175,-75.1762336015296,150.4653720788409,40.000085875987175,40.000085875987175,-6.81757493577073,-6.81757493577073,-6.81757493577073,-8.309824159513976,-8.309824159513976,-8.309824159513976,1.492249223743245,1.492249223743245,1.492249223743245,0.0,0.0,0.0,33.182510940216446
2020-04-06,41.58019476349953,-82.05741467916852,156.8262941096258,41.58019476349953,41.58019476349953,-8.166757076206604,-8.166757076206604,-8.166757076206604,-8.309824159513976,-8.309824159513976,-8.309824159513976,0.14306708330737172,0.14306708330737172,0.14306708330737172,0.0,0.0,0.0,33.41343768729293
2020-04-07,43.16030365101189,-89.14664492223928,154.20154899698144,43.16030365101189,43.16030365101189,-9.531272500629532,-9.531272500629532,-9.531272500629532,-8.309824159513976,-8.309824159513976,-8.309824159513976,-1.2214483411155561,-1.2214483411155561,-1.2214483411155561,0.0,0.0,0.0,33.62903115038235
2020-04-08,44.74041253852425,-78.39043100844776,154.1075276277992,44.74041253852425,44.74041253852425,-8.244632136036008,-8.244632136036008,-8.244632136036008,-8.309824159513976,-8.309824159513976,-8.309824159513976,0.06519202347796718,0.06519202347796718,0.06519202347796718,0.0,0.0,0.0,36.495780402488236
2020-04-09,46.320521426036606,-74.28057054781168,151.08893427998106,46.320521426036606,46.320521426036606,-8.474807986586233,-8.474807986586233,-8.474807986586233,-8.309824159513976,-8.309824159513976,-8.309824159513976,-0.16498382707225906,-0.16498382707225906,-0.16498382707225906,0.0,0.0,0.0,37.84571343945037
2020-04-10,47.90063031354896,-71.39026137747857,155.3857939928365,47.90063031354896,47.90063031354896,-7.925691110749484,-7.925691110749484,-7.925691110749484,-8.309824159513976,-8.309824159513976,-8.309824159513976,0.3841330487644912,0.3841330487644912,0.3841330487644912,0.0,0.0,0.0,39.974939202799476
2020-04-11,49.48073920106132,-77.53116159962903,157.87413159314977,49.48073920106132,49.48073920106132,-9.008033370621908,-9.008033370621908,-9.008033370621908,-8.309824159513976,-8.309824159513976,-8.309824159513976,-0.6982092111079302,-0.6982092111079302,-0.6982092111079302,0.0,0.0,0.0,40.47270583043941
2020-04-12,51.06084808857368,-71.20386901363118,157.63217254833566,51.06084808857368,51.06084808857368,-6.817574935775086,-6.817574935775086,-6.817574935775086,-8.309824159513976,-8.309824159513976,-8.309824159513976,1.4922492237388896,1.4922492237388896,1.4922492237388896,0.0,0.0,0.0,44.243273152798594
2020-04-13,52.64095697608604,-69.81186145078236,163.46774760086316,52.64095697608604,52.64095697608604,-8.166757076211582,-8.166757076211582,-8.166757076211582,-8.309824159513976,-8.309824159513976,-8.309824159513976,0.14306708330239673,0.14306708330239673,0.14306708330239673,0.0,0.0,0.0,44.474199899874456
2020-04-14,54.22106586359839,-69.16640957545518,152.2079436908222,54.22106586359839,54.22106586359839,-9.531272500630932,-9.531272500630932,-9.531272500630932,-8.309824159513976,-8.309824159513976,-8.309824159513976,-1.221448341116957,-1.221448341116957,-1.221448341116957,0.0,0.0,0.0,44.68979336296746
2020-04-15,55.80117475111075,-73.00181554710878,166.3691467410821,55.80117475111075,55.80117475111075,-8.244632136034111,-8.244632136034111,-8.244632136034111,-8.309824159513976,-8.309824159513976,-8.309824159513976,0.06519202347986655,0.06519202347986655,0.06519202347986655,0.0,0.0,0.0,47.55654261507664
2020-04-16,57.381283638623096,-66.64054059577902,168.55922430897925,57.381283638623096,57.381283638623096,-8.474807986586223,-8.474807986586223,-8.474807986586223,-8.309824159513976,-8.309824159513976,-8.309824159513976,-0.1649838270722456,-0.1649838270722456,-0.1649838270722456,0.0,0.0,0.0,48.906475652036875
2020-04-17,58.961392526135455,-71.48898331174826,171.85837998272908,58.961392526135455,58.961392526135455,-7.925691110750049,-7.925691110750049,-7.925691110750049,-8.309824159513976,-8.309824159513976,-8.309824159513976,0.3841330487639272,0.3841330487639272,0.3841330487639272,0.0,0.0,0.0,51.035701415385404
2020-04-18,60.54150141364782,-67.55299229266751,174.016019692888,60.54150141364782,60.54150141364782,-9.008033370618465,-9.008033370618465,-9.008033370618465,-8.309824159513976,-8.309824159513976,-8.309824159513976,-0.6982092111044896,-0.6982092111044896,-0.6982092111044896,0.0,0.0,0.0,51.53346804302936
2020-04-19,62.12161030116018,-63.68126661130469,170.13290926734837,62.12161030116018,62.12161030116018,-6.817574935771772,-6.817574935771772,-6.817574935771772,-8.309824159513976,-8.309824159513976,-8.309824159513976,1.4922492237422036,1.4922492237422036,1.4922492237422036,0.0,0.0,0.0,55.30403536538841
2020-04-20,63.70171918867253,-60.13292129837547,173.47250870884355,63.70171918867253,63.70171918867253,-8.166757076211754,-8.166757076211754,-8.166757076211754,-8.309824159513976,-8.309824159513976,-8.309824159513976,0.14306708330222323,0.14306708330222323,0.14306708330222323,0.0,0.0,0.0,55.534962112460775
2020-04-21,65.2818280761849,-66.86711505238002,175.5005014077921,65.2818280761849,65.2818280761849,-9.531272500630656,-9.531272500630656,-9.531272500630656,-8.309824159513976,-8.309824159513976,-8.309824159513976,-1.2214483411166814,-1.2214483411166814,-1.2214483411166814,0.0,0.0,0.0,55.75055557555424
2020-04-22,66.86193696369725,-57.77576953517812,176.00608035704605,66.86193696369725,66.86193696369725,-8.24463213603609,-8.24463213603609,-8.24463213603609,-8.309824159513976,-8.309824159513976,-8.309824159513976,0.06519202347788759,0.06519202347788759,0.06519202347788759,0.0,0.0,0.0,58.61730482766116
2020-04-23,68.4420458512096,-55.073655924383985,179.9189641037016,68.4420458512096,68.4420458512096,-8.474807986586828,-8.474807986586828,-8.474807986586828,-8.309824159513976,-8.309824159513976,-8.309824159513976,-0.1649838270728526,-0.1649838270728526,-0.1649838270728526,0.0,0.0,0.0,59.967237864622774
2020-04-24,70.02215473872197,-54.329645321048716,183.05459927212388,70.02215473872197,70.02215473872197,-7.925691110750613,-7.925691110750613,-7.925691110750613,-8.309824159513976,-8.309824159513976,-8.309824159513976,0.3841330487633634,0.3841330487633634,0.3841330487633634,0.0,0.0,0.0,62.09646362797135
2020-04-25,71.60226362623432,-50.40024144932581,179.7883045127735,71.60226362623432,71.60226362623432,-9.008033370619241,-9.008033370619241,-9.008033370619241,-8.309824159513976,-8.309824159513976,-8.309824159513976,-0.6982092111052665,-0.6982092111052665,-0.6982092111052665,0.0,0.0,0.0,62.594230255615074
2020-04-26,73.18237251374667,-39.82804308133601,186.33342268199644,73.18237251374667,73.18237251374667,-6.817574935772293,-6.817574935772293,-6.817574935772293,-8.309824159513976,-8.309824159513976,-8.309824159513976,1.492249223741683,1.492249223741683,1.492249223741683,0.0,0.0,0.0,66.36479757797437
2020-04-27,74.76248140125904,-51.09847010128702,188.25522799135658,74.76248140125904,74.76248140125904,-8.16675707620495,-8.16675707620495,-8.16675707620495,-8.309824159513976,-8.309824159513976,-8.309824159513976,0.14306708330902504,0.14306708330902504,0.14306708330902504,0.0,0.0,0.0,66.59572432505409
2020-04-28,76.34259028877139,-52.66444497866714,185.36672583161163,76.34259028877139,76.34259028877139,-9.531272500627242,-9.531272500627242,-9.531272500627242,-8.309824159513976,-8.309824159513976,-8.309824159513976,-1.2214483411132655,-1.2214483411132655,-1.2214483411132655,0.0,0.0,0.0,66.81131778814415
2020-04-29,77.92269917628376,-45.007457153469446,188.33189897154392,77.92269917628376,77.92269917628376,-8.244632136030312,-8.244632136030312,-8.244632136030312,-8.309824159513976,-8.309824159513976,-8.309824159513976,0.06519202348366541,0.06519202348366541,0.06519202348366541,0.0,0.0,0.0,69.67806704025344
2020-04-30,79.50280806379611,-45.106172687833514,187.6331682046315,79.50280806379611,79.50280806379611,-8.474807986585263,-8.474807986585263,-8.474807986585263,-8.309824159513976,-8.309824159513976,-8.309824159513976,-0.1649838270712879,-0.1649838270712879,-0.1649838270712879,0.0,0.0,0.0,71.02800007721085
2020-05-01,81.08291695130846,-41.12475457877427,181.6799905383038,81.08291695130846,81.08291695130846,-7.92569111074815,-7.92569111074815,-7.92569111074815,-8.309824159513976,-8.309824159513976,-8.309824159513976,0.38413304876582666,0.38413304876582666,0.38413304876582666,0.0,0.0,0.0,73.15722584056032
2020-05-02,82.66302583882083,-49.367039530463295,191.05477439065353,82.66302583882083,82.66302583882083,-9.008033370622604,-9.008033370622604,-9.008033370622604,-8.309824159513976,-8.309824159513976,-8.309824159513976,-0.698209211108626,-0.698209211108626,-0.698209211108626,0.0,0.0,0.0,73.65499246819823
2020-05-03,84.24313472633317,-33.91174160650646,188.55047903376388,84.24313472633317,84.24313472633317,-6.8175749357728135,-6.8175749357728135,-6.8175749357728135,-8.309824159513976,-8.309824159513976,-8.309824159513976,1.492249223741162,1.492249223741162,1.492249223741162,0.0,0.0,0.0,77.42555979056036
2020-05-04,85.82324361384552,-43.410626889771564,189.98932085844484,85.82324361384552,85.82324361384552,-8.166757076205124,-8.166757076205124,-8.166757076205124,-8.309824159513976,-8.309824159513976,-8.309824159513976,0.14306708330885148,0.14306708330885148,0.14306708330885148,0.0,0.0,0.0,77.65648653764039
2020-05-05,87.40335250135789,-35.19518953998729,185.81144835487632,87.40335250135789,87.40335250135789,-9.531272500633458,-9.531272500633458,-9.531272500633458,-8.309824159513976,-8.309824159513976,-8.309824159513976,-1.2214483411194834,-1.2214483411194834,-1.2214483411194834,0.0,0.0,0.0,77.87208000072442
2020-05-06,88.98346138887024,-37.97019599097955,197.33918575784386,88.98346138887024,88.98346138887024,-8.24463213603229,-8.24463213603229,-8.24463213603229,-8.309824159513976,-8.309824159513976,-8.309824159513976,0.06519202348168661,0.06519202348168661,0.06519202348168661,0.0,0.0,0.0,80.73882925283795
2020-05-07,90.5635702763826,-25.940787254898954,197.5459020309539,90.5635702763826,90.5635702763826,-8.474807986585871,-8.474807986585871,-8.474807986585871,-8.309824159513976,-8.309824159513976,-8.309824159513976,-0.16498382707189496,-0.16498382707189496,-0.16498382707189496,0.0,0.0,0.0,82.08876228979673
2020-05-08,92.14367916389496,-35.68931334594586,206.9485919744344,92.14367916389496,92.14367916389496,-7.925691110748712,-7.925691110748712,-7.925691110748712,-8.309824159513976,-8.309824159513976,-8.309824159513976,0.3841330487652628,0.3841330487652628,0.3841330487652628,0.0,0.0,0.0,84.21798805314624
2020-05-09,93.72378805140733,-33.1491094870567,199.26378111561363,93.72378805140733,93.72378805140733,-9.00803337062338,-9.00803337062338,-9.00803337062338,-8.309824159513976,-8.309824159513976,-8.309824159513976,-0.698209211109403,-0.698209211109403,-0.698209211109403,0.0,0.0,0.0,84.71575468078395
2020-05-10,95.30389693891969,-24.864787751599085,200.34278707445276,95.30389693891969,95.30389693891969,-6.817574935773335,-6.817574935773335,-6.817574935773335,-8.309824159513976,-8.309824159513976,-8.309824159513976,1.4922492237406415,1.4922492237406415,1.4922492237406415,0.0,0.0,0.0,88.48632200314636
